biosample_id,run_accession,fastq_file,download_url
SAMN16564840,SRR12966358,SRR12966358_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/058/SRR12966358/SRR12966358_subreads.fastq.gz
SAMN03257090,SRR2667442,SRR2667442_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR266/002/SRR2667442/SRR2667442_1.fastq.gz
SAMN03257090,SRR2667442,SRR2667442_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR266/002/SRR2667442/SRR2667442_2.fastq.gz
SAMN03257090,SRR3647357,SRR3647357_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/007/SRR3647357/SRR3647357_1.fastq.gz
SAMN03257090,SRR3647357,SRR3647357_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/007/SRR3647357/SRR3647357_2.fastq.gz
SAMN03257090,SRR3668198,SRR3668198_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/008/SRR3668198/SRR3668198_subreads.fastq.gz
SAMN03257090,SRR3668222,SRR3668222_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/002/SRR3668222/SRR3668222_subreads.fastq.gz
SAMEA115401570,ERR12742681,ERR12742681.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/081/ERR12742681/ERR12742681.fastq.gz
SAMEA115401570,ERR12743216,ERR12743216.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/016/ERR12743216/ERR12743216.fastq.gz
SAMN08321034,SRR6467888,SRR6467888_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6467888/SRR6467888_subreads.fastq.gz
SAMN08321034,SRR6467889,SRR6467889_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6467889/SRR6467889_1.fastq.gz
SAMN08321034,SRR6467889,SRR6467889_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6467889/SRR6467889_2.fastq.gz
SAMN16406464,SRR12801728,SRR12801728_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/028/SRR12801728/SRR12801728_1.fastq.gz
SAMN27028221,SRR18511601,SRR18511601_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/001/SRR18511601/SRR18511601_1.fastq.gz
SAMN27028221,SRR18511601,SRR18511601_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/001/SRR18511601/SRR18511601_2.fastq.gz
SAMN37563202,SRR26193458,SRR26193458_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR261/058/SRR26193458/SRR26193458_subreads.fastq.gz
SAMEA115401574,ERR12742687,ERR12742687.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/087/ERR12742687/ERR12742687.fastq.gz
SAMEA115401574,ERR12743222,ERR12743222.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/022/ERR12743222/ERR12743222.fastq.gz
SAMN41453954,SRR29081048,SRR29081048_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/048/SRR29081048/SRR29081048_1.fastq.gz
SAMN41453954,SRR29081007,SRR29081007_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/007/SRR29081007/SRR29081007_1.fastq.gz
SAMN41453954,SRR29081007,SRR29081007_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/007/SRR29081007/SRR29081007_2.fastq.gz
SAMN16406477,SRR12801731,SRR12801731_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/031/SRR12801731/SRR12801731_1.fastq.gz
SAMN16406468,SRR12801724,SRR12801724_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/024/SRR12801724/SRR12801724_1.fastq.gz
SAMN03257094,SRR2667511,SRR2667511_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR266/001/SRR2667511/SRR2667511_1.fastq.gz
SAMN03257094,SRR2667511,SRR2667511_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR266/001/SRR2667511/SRR2667511_2.fastq.gz
SAMN03257094,SRR3647361,SRR3647361_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/001/SRR3647361/SRR3647361_1.fastq.gz
SAMN03257094,SRR3647361,SRR3647361_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/001/SRR3647361/SRR3647361_2.fastq.gz
SAMN03257094,SRR3668205,SRR3668205_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/005/SRR3668205/SRR3668205_subreads.fastq.gz
SAMN03257094,SRR3668206,SRR3668206_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/006/SRR3668206/SRR3668206_subreads.fastq.gz
SAMN27305103,SRR18636082,SRR18636082_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/082/SRR18636082/SRR18636082_1.fastq.gz
